San Francisco County, California July Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189507,59.8,-0.9
189607,62.8,2.1
189707,61.2,0.5
189807,60.6,-0.1
189907,59.1,-1.6
190007,61.4,0.7
190107,58.9,-1.8
190207,61.0,0.3
190307,58.0,-2.7
190407,58.8,-1.9
190507,60.7,0.0
190607,62.7,2.0
190707,59.0,-1.7
190807,61.1,0.4
190907,59.4,-1.3
191007,58.8,-1.9
191107,59.3,-1.4
191207,58.7,-2.0
191307,63.0,2.3
191407,59.0,-1.7
191507,61.0,0.3
191607,60.7,0.0
191707,62.6,1.9
191807,59.4,-1.3
191907,58.5,-2.2
192007,58.7,-2.0
192107,60.3,-0.4
192207,60.6,-0.1
192307,60.1,-0.6
192407,58.6,-2.1
192507,60.7,0.0
192607,61.2,0.5
192707,58.8,-1.9
192807,58.6,-2.1
192907,61.3,0.6
193007,58.2,-2.5
193107,62.3,1.6
193207,59.7,-1.0
193307,60.0,-0.7
193407,60.4,-0.3
193507,59.8,-0.9
193607,60.9,0.2
193707,60.5,-0.2
193807,60.0,-0.7
193907,60.6,-0.1
194007,60.9,0.2
194107,61.1,0.4
194207,60.9,0.2
194307,60.1,-0.6
194407,58.4,-2.3
194507,60.9,0.2
194607,61.2,0.5
194707,60.8,0.1
194807,60.3,-0.4
194907,59.1,-1.6
195007,60.5,-0.2
195107,58.8,-1.9
195207,61.3,0.6
195307,59.7,-1.0
195407,61.2,0.5
195507,58.8,-1.9
195607,59.5,-1.2
195707,62.0,1.3
195807,60.9,0.2
195907,62.8,2.1
196007,60.5,-0.2
196107,62.8,2.1
196207,59.0,-1.7
196307,61.1,0.4
196407,60.8,0.1
196507,59.0,-1.7
196607,60.0,-0.7
196707,61.2,0.5
196807,60.7,0.0
196907,60.9,0.2
197007,60.5,-0.2
197107,59.9,-0.8
197207,62.7,2.0
197307,61.0,0.3
197407,61.9,1.2
197507,60.8,0.1
197607,61.9,1.2
197707,61.3,0.6
197807,61.0,0.3
197907,62.4,1.7
198007,62.2,1.5
198107,60.5,-0.2
198207,60.6,-0.1
198307,63.2,2.5
198407,63.4,2.7
198507,63.4,2.7
198607,61.9,1.2
198707,61.1,0.4
198807,63.0,2.3
198907,61.9,1.2
199007,62.7,2.0
199107,61.2,0.5
199207,64.2,3.5
199307,62.5,1.8
199407,59.6,-1.1
199507,64.9,4.2
199607,62.4,1.7
199707,62.3,1.6
199807,61.6,0.9
199907,60.4,-0.3
200007,60.1,-0.6
200107,61.4,0.7
200207,61.7,1.0
200307,62.0,1.3
200407,62.6,1.9
200507,62.9,2.2
200607,64.2,3.5
200707,62.8,2.1
200807,61.9,1.2
200907,60.7,0.0
201007,60.0,-0.7
201107,61.3,0.6
201207,61.0,0.3
201307,61.6,0.9
201407,64.6,3.9
201507,65.2,4.5
201607,61.2,0.5
201707,62.3,1.6
201807,62.4,1.7
201907,62.6,1.9
202007,62.3,1.6
202107,61.7,1.0
202207,61.5,0.8
202307,63.1,2.4
